265.26 , 349.8
265.24 , 349.71
265.21 , 349.62
265.19 , 349.53
265.16 , 349.44
265.14 , 349.35
265.12 , 349.26
265.1 , 349.17
265.08 , 349.08
265.07 , 348.99
265.05 , 348.9
265.04 , 348.81
265.03 , 348.72
265.02 , 348.63
265.01 , 348.54
265.01 , 348.45
265.0 , 348.36
265.0 , 348.27
265.0 , 348.18
265.0 , 348.09
265.0 , 347.0
265.0 , 346.91
265.0 , 346.82
265.0 , 346.73
265.0 , 346.64
264.99 , 346.55
264.99 , 346.46
264.98 , 346.37
264.97 , 346.28
264.96 , 346.19
264.95 , 346.1
264.93 , 346.01
264.92 , 345.92
264.9 , 345.83
264.88 , 345.74
264.86 , 345.65
264.84 , 345.56
264.81 , 345.47
264.79 , 345.38
264.76 , 345.29
264.74 , 345.2
264.71 , 345.11
264.68 , 345.02
264.66 , 344.93
264.63 , 344.84
264.6 , 344.75
264.57 , 344.66
264.54 , 344.57
264.52 , 344.48
264.49 , 344.39
264.46 , 344.3
264.44 , 344.21
264.41 , 344.12
264.39 , 344.03
264.36 , 343.94
264.34 , 343.85
264.31 , 343.76
264.29 , 343.67
264.27 , 343.58
264.25 , 343.49
264.23 , 343.4
264.21 , 343.31
264.2 , 343.22
264.18 , 343.13
264.16 , 343.04
264.15 , 342.95
264.13 , 342.86
264.12 , 342.77
264.11 , 342.68
264.1 , 342.59
264.09 , 342.5
264.08 , 342.41
264.07 , 342.32
264.06 , 342.23
264.05 , 342.14
264.05 , 342.05
264.04 , 341.96
264.03 , 341.87
264.03 , 341.78
264.02 , 341.69
264.01 , 341.6
264.01 , 341.51
264.0 , 341.42
264.0 , 341.33
264.0 , 341.24
263.99 , 341.15
263.99 , 341.06
263.98 , 340.97
263.98 , 340.88
263.97 , 340.79
263.96 , 340.7
263.96 , 340.61
263.95 , 340.52
263.94 , 340.43
263.94 , 340.34
263.93 , 340.25
263.92 , 340.16
263.91 , 340.07
263.89 , 339.98
263.88 , 339.89
263.87 , 339.8
263.85 , 339.71
263.83 , 339.62
263.81 , 339.53
263.79 , 339.44
263.77 , 339.35
263.74 , 339.26
263.71 , 339.17
263.68 , 339.08
263.65 , 338.99
263.61 , 338.9
263.57 , 338.81
263.53 , 338.72
263.48 , 338.63
263.43 , 338.54
263.37 , 338.45
263.31 , 338.36
263.24 , 338.27
263.17 , 338.18
263.09 , 338.09
262.0 , 339.0
261.91 , 339.0
261.82 , 339.0
261.73 , 339.0
261.64 , 339.0
261.55 , 339.0
261.46 , 339.0
261.37 , 339.0
261.28 , 339.0
261.19 , 339.0
261.1 , 339.0
261.01 , 339.0
260.92 , 339.0
260.83 , 339.0
260.74 , 339.0
260.65 , 339.0
260.56 , 339.0
260.47 , 339.0
260.38 , 339.0
260.29 , 339.0
260.2 , 339.0
260.11 , 339.0
260.02 , 339.01
259.93 , 339.01
259.84 , 339.01
259.75 , 339.01
259.66 , 339.01
259.57 , 339.01
259.48 , 339.02
259.39 , 339.02
259.3 , 339.03
259.21 , 339.03
259.12 , 339.03
259.03 , 339.04
258.94 , 339.05
258.85 , 339.05
258.76 , 339.06
258.67 , 339.07
258.58 , 339.08
258.49 , 339.09
258.4 , 339.1
258.31 , 339.11
258.22 , 339.12
258.13 , 339.14
258.04 , 339.15
257.95 , 339.17
257.86 , 339.18
257.77 , 339.2
257.68 , 339.22
257.59 , 339.23
257.5 , 339.25
257.41 , 339.27
257.32 , 339.29
257.23 , 339.32
257.14 , 339.34
257.05 , 339.36
256.96 , 339.38
256.87 , 339.41
256.78 , 339.43
256.69 , 339.46
256.6 , 339.48
256.51 , 339.51
256.42 , 339.53
256.33 , 339.56
256.24 , 339.58
256.15 , 339.61
256.06 , 339.63
255.97 , 339.66
255.88 , 339.68
255.79 , 339.71
255.7 , 339.73
255.61 , 339.75
255.52 , 339.77
255.43 , 339.79
255.34 , 339.82
255.25 , 339.83
255.16 , 339.85
255.07 , 339.87
254.98 , 339.89
254.89 , 339.9
254.8 , 339.91
254.71 , 339.93
254.62 , 339.94
254.53 , 339.95
254.44 , 339.96
254.35 , 339.97
254.26 , 339.97
254.17 , 339.98
254.08 , 339.98
253.99 , 339.99
253.9 , 339.99
253.81 , 339.99
253.72 , 340.0
253.63 , 340.0
253.54 , 340.0
253.45 , 340.0
253.36 , 340.0
253.27 , 340.0
253.18 , 340.0
253.09 , 340.0
252.0 , 341.0
251.91 , 341.09
251.82 , 341.17
251.73 , 341.24
251.64 , 341.31
251.55 , 341.37
251.46 , 341.43
251.37 , 341.48
251.28 , 341.52
251.19 , 341.57
251.1 , 341.6
251.01 , 341.64
250.92 , 341.67
250.83 , 341.69
250.74 , 341.72
250.65 , 341.73
250.56 , 341.75
250.47 , 341.76
250.38 , 341.77
250.29 , 341.78
250.2 , 341.78
250.11 , 341.78
250.02 , 341.78
249.93 , 341.77
249.84 , 341.77
249.75 , 341.76
249.66 , 341.75
249.57 , 341.74
249.48 , 341.72
249.39 , 341.71
249.3 , 341.69
249.21 , 341.67
249.12 , 341.65
249.03 , 341.63
248.94 , 341.61
248.85 , 341.59
248.76 , 341.57
248.67 , 341.54
248.58 , 341.52
248.49 , 341.5
248.4 , 341.47
248.31 , 341.45
248.22 , 341.43
248.13 , 341.4
248.04 , 341.38
247.95 , 341.36
247.86 , 341.33
247.77 , 341.31
247.68 , 341.29
247.59 , 341.27
247.5 , 341.25
247.41 , 341.23
247.32 , 341.21
247.23 , 341.2
247.14 , 341.18
247.05 , 341.17
246.96 , 341.15
246.87 , 341.14
246.78 , 341.12
246.69 , 341.11
246.6 , 341.1
246.51 , 341.09
246.42 , 341.08
246.33 , 341.07
246.24 , 341.06
246.15 , 341.05
246.06 , 341.05
245.97 , 341.04
245.88 , 341.03
245.79 , 341.03
245.7 , 341.03
245.61 , 341.02
245.52 , 341.02
245.43 , 341.01
245.34 , 341.01
245.25 , 341.01
245.16 , 341.01
245.07 , 341.01
244.98 , 341.01
244.89 , 341.0
244.8 , 341.0
244.71 , 341.0
244.62 , 341.0
244.53 , 341.0
244.44 , 341.0
244.35 , 341.0
244.26 , 341.0
244.17 , 341.0
244.08 , 341.0
243.99 , 341.0
243.9 , 341.0
243.81 , 341.0
243.72 , 341.0
243.63 , 341.0
243.54 , 341.0
243.45 , 341.0
243.36 , 341.0
243.27 , 341.0
243.18 , 341.0
243.09 , 341.0
242.0 , 341.0
241.91 , 341.0
241.82 , 341.0
241.73 , 341.0
